----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 32, 111, 111]             864
       BatchNorm2d-2         [-1, 32, 111, 111]              64
       BasicConv2d-3         [-1, 32, 111, 111]               0
            Conv2d-4         [-1, 32, 109, 109]           9,216
       BatchNorm2d-5         [-1, 32, 109, 109]              64
       BasicConv2d-6         [-1, 32, 109, 109]               0
            Conv2d-7         [-1, 64, 109, 109]          18,432
       BatchNorm2d-8         [-1, 64, 109, 109]             128
       BasicConv2d-9         [-1, 64, 109, 109]               0
           Conv2d-10           [-1, 80, 54, 54]           5,120
      BatchNorm2d-11           [-1, 80, 54, 54]             160
      BasicConv2d-12           [-1, 80, 54, 54]               0
           Conv2d-13          [-1, 192, 52, 52]         138,240
      BatchNorm2d-14          [-1, 192, 52, 52]             384
      BasicConv2d-15          [-1, 192, 52, 52]               0
           Conv2d-16           [-1, 64, 25, 25]          12,288
      BatchNorm2d-17           [-1, 64, 25, 25]             128
      BasicConv2d-18           [-1, 64, 25, 25]               0
           Conv2d-19           [-1, 48, 25, 25]           9,216
      BatchNorm2d-20           [-1, 48, 25, 25]              96
      BasicConv2d-21           [-1, 48, 25, 25]               0
           Conv2d-22           [-1, 64, 25, 25]          76,800
      BatchNorm2d-23           [-1, 64, 25, 25]             128
      BasicConv2d-24           [-1, 64, 25, 25]               0
           Conv2d-25           [-1, 64, 25, 25]          12,288
      BatchNorm2d-26           [-1, 64, 25, 25]             128
      BasicConv2d-27           [-1, 64, 25, 25]               0
           Conv2d-28           [-1, 96, 25, 25]          55,296
      BatchNorm2d-29           [-1, 96, 25, 25]             192
      BasicConv2d-30           [-1, 96, 25, 25]               0
           Conv2d-31           [-1, 96, 25, 25]          82,944
      BatchNorm2d-32           [-1, 96, 25, 25]             192
      BasicConv2d-33           [-1, 96, 25, 25]               0
           Conv2d-34           [-1, 32, 25, 25]           6,144
      BatchNorm2d-35           [-1, 32, 25, 25]              64
      BasicConv2d-36           [-1, 32, 25, 25]               0
       InceptionA-37          [-1, 256, 25, 25]               0
           Conv2d-38           [-1, 64, 25, 25]          16,384
      BatchNorm2d-39           [-1, 64, 25, 25]             128
      BasicConv2d-40           [-1, 64, 25, 25]               0
           Conv2d-41           [-1, 48, 25, 25]          12,288
      BatchNorm2d-42           [-1, 48, 25, 25]              96
      BasicConv2d-43           [-1, 48, 25, 25]               0
           Conv2d-44           [-1, 64, 25, 25]          76,800
      BatchNorm2d-45           [-1, 64, 25, 25]             128
      BasicConv2d-46           [-1, 64, 25, 25]               0
           Conv2d-47           [-1, 64, 25, 25]          16,384
      BatchNorm2d-48           [-1, 64, 25, 25]             128
      BasicConv2d-49           [-1, 64, 25, 25]               0
           Conv2d-50           [-1, 96, 25, 25]          55,296
      BatchNorm2d-51           [-1, 96, 25, 25]             192
      BasicConv2d-52           [-1, 96, 25, 25]               0
           Conv2d-53           [-1, 96, 25, 25]          82,944
      BatchNorm2d-54           [-1, 96, 25, 25]             192
      BasicConv2d-55           [-1, 96, 25, 25]               0
           Conv2d-56           [-1, 64, 25, 25]          16,384
      BatchNorm2d-57           [-1, 64, 25, 25]             128
      BasicConv2d-58           [-1, 64, 25, 25]               0
       InceptionA-59          [-1, 288, 25, 25]               0
           Conv2d-60           [-1, 64, 25, 25]          18,432
      BatchNorm2d-61           [-1, 64, 25, 25]             128
      BasicConv2d-62           [-1, 64, 25, 25]               0
           Conv2d-63           [-1, 48, 25, 25]          13,824
      BatchNorm2d-64           [-1, 48, 25, 25]              96
      BasicConv2d-65           [-1, 48, 25, 25]               0
           Conv2d-66           [-1, 64, 25, 25]          76,800
      BatchNorm2d-67           [-1, 64, 25, 25]             128
      BasicConv2d-68           [-1, 64, 25, 25]               0
           Conv2d-69           [-1, 64, 25, 25]          18,432
      BatchNorm2d-70           [-1, 64, 25, 25]             128
      BasicConv2d-71           [-1, 64, 25, 25]               0
           Conv2d-72           [-1, 96, 25, 25]          55,296
      BatchNorm2d-73           [-1, 96, 25, 25]             192
      BasicConv2d-74           [-1, 96, 25, 25]               0
           Conv2d-75           [-1, 96, 25, 25]          82,944
      BatchNorm2d-76           [-1, 96, 25, 25]             192
      BasicConv2d-77           [-1, 96, 25, 25]               0
           Conv2d-78           [-1, 64, 25, 25]          18,432
      BatchNorm2d-79           [-1, 64, 25, 25]             128
      BasicConv2d-80           [-1, 64, 25, 25]               0
       InceptionA-81          [-1, 288, 25, 25]               0
           Conv2d-82          [-1, 384, 12, 12]         995,328
      BatchNorm2d-83          [-1, 384, 12, 12]             768
      BasicConv2d-84          [-1, 384, 12, 12]               0
           Conv2d-85           [-1, 64, 25, 25]          18,432
      BatchNorm2d-86           [-1, 64, 25, 25]             128
      BasicConv2d-87           [-1, 64, 25, 25]               0
           Conv2d-88           [-1, 96, 25, 25]          55,296
      BatchNorm2d-89           [-1, 96, 25, 25]             192
      BasicConv2d-90           [-1, 96, 25, 25]               0
           Conv2d-91           [-1, 96, 12, 12]          82,944
      BatchNorm2d-92           [-1, 96, 12, 12]             192
      BasicConv2d-93           [-1, 96, 12, 12]               0
       InceptionB-94          [-1, 768, 12, 12]               0
           Conv2d-95          [-1, 192, 12, 12]         147,456
      BatchNorm2d-96          [-1, 192, 12, 12]             384
      BasicConv2d-97          [-1, 192, 12, 12]               0
           Conv2d-98          [-1, 128, 12, 12]          98,304
      BatchNorm2d-99          [-1, 128, 12, 12]             256
     BasicConv2d-100          [-1, 128, 12, 12]               0
          Conv2d-101          [-1, 128, 12, 12]         114,688
     BatchNorm2d-102          [-1, 128, 12, 12]             256
     BasicConv2d-103          [-1, 128, 12, 12]               0
          Conv2d-104          [-1, 192, 12, 12]         172,032
     BatchNorm2d-105          [-1, 192, 12, 12]             384
     BasicConv2d-106          [-1, 192, 12, 12]               0
          Conv2d-107          [-1, 128, 12, 12]          98,304
     BatchNorm2d-108          [-1, 128, 12, 12]             256
     BasicConv2d-109          [-1, 128, 12, 12]               0
          Conv2d-110          [-1, 128, 12, 12]         114,688
     BatchNorm2d-111          [-1, 128, 12, 12]             256
     BasicConv2d-112          [-1, 128, 12, 12]               0
          Conv2d-113          [-1, 128, 12, 12]         114,688
     BatchNorm2d-114          [-1, 128, 12, 12]             256
     BasicConv2d-115          [-1, 128, 12, 12]               0
          Conv2d-116          [-1, 128, 12, 12]         114,688
     BatchNorm2d-117          [-1, 128, 12, 12]             256
     BasicConv2d-118          [-1, 128, 12, 12]               0
          Conv2d-119          [-1, 192, 12, 12]         172,032
     BatchNorm2d-120          [-1, 192, 12, 12]             384
     BasicConv2d-121          [-1, 192, 12, 12]               0
          Conv2d-122          [-1, 192, 12, 12]         147,456
     BatchNorm2d-123          [-1, 192, 12, 12]             384
     BasicConv2d-124          [-1, 192, 12, 12]               0
      InceptionC-125          [-1, 768, 12, 12]               0
          Conv2d-126          [-1, 192, 12, 12]         147,456
     BatchNorm2d-127          [-1, 192, 12, 12]             384
     BasicConv2d-128          [-1, 192, 12, 12]               0
          Conv2d-129          [-1, 160, 12, 12]         122,880
     BatchNorm2d-130          [-1, 160, 12, 12]             320
     BasicConv2d-131          [-1, 160, 12, 12]               0
          Conv2d-132          [-1, 160, 12, 12]         179,200
     BatchNorm2d-133          [-1, 160, 12, 12]             320
     BasicConv2d-134          [-1, 160, 12, 12]               0
          Conv2d-135          [-1, 192, 12, 12]         215,040
     BatchNorm2d-136          [-1, 192, 12, 12]             384
     BasicConv2d-137          [-1, 192, 12, 12]               0
          Conv2d-138          [-1, 160, 12, 12]         122,880
     BatchNorm2d-139          [-1, 160, 12, 12]             320
     BasicConv2d-140          [-1, 160, 12, 12]               0
          Conv2d-141          [-1, 160, 12, 12]         179,200
     BatchNorm2d-142          [-1, 160, 12, 12]             320
     BasicConv2d-143          [-1, 160, 12, 12]               0
